Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, 5V2, GND1, GND2, LOW1",TestPoint_Pad_D1.5mm,5, ,
C1,R_0603_1608Metric,1,C4.7uF,
C2,R_0603_1608Metric,1,C10uF,
C3,R_0603_1608Metric,1,C1uF,
C4,R_0603_1608Metric,1,C22uF,
CHR1,LED_0805_2012Metric,1,GRN,
CR02032,BatteryHolder_MPD_BC2003_1x2032,1,BAT,
J0,R_0201_0603Metric,1,R0,
L1,L_Vishay_IFSC-1515AH_4x4x1.8mm,1,10UH,
POW1,LED_0805_2012Metric,1,RED,
R1,R_0603_1608Metric,1,R28K,
"R2, R3",R_0603_1608Metric,2,R470,
U1,SOT-23-5,1,MCP73831-2-OT,
U2,SOT-363_SC-70-6,1,LTC3525-5,
U3,SOT-23,1,MCP102-240D,
USBC1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
