Designator,Mid X,Mid Y,Rotation,Layer
D1,104.23,-79.12,90.0,top
D10,149.93,-77.84,0.0,top
D11,155.26,-79.12,90.0,top
D2,110.3,-77.84,0.0,top
D3,115.46,-79.12,90.0,top
D5,124.45,-79.12,90.0,top
D6,129.8125,-77.84,0.0,top
D7,134.66,-79.12,90.0,top
D9,144.02,-79.12,90.0,top
R1,104.23,-78.5975,90.0,bottom
R10,148.9075,-78.5975,-90.0,bottom
R11,155.29,-78.5975,-90.0,bottom
R2,110.6125,-78.5975,-90.0,bottom
R3,116.995,-78.5975,-90.0,bottom
R5,123.3775,-78.5975,-90.0,bottom
R6,129.7,-78.61,-90.0,bottom
R7,136.96,-78.55,-90.0,bottom
R9,142.525,-78.5975,-90.0,bottom
U1,109.96,-82.34,0.0,top
U2,129.46,-82.34,0.0,top
U3,149.56,-82.34,0.0,top
