Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, EC1, EO1, ERR1, GND1, IN1, NC1, NO1",TestPoint_Pad_D2.0mm,8,TestPoint,
D1,LED_0805_2012Metric,1,LED_SIGN,
D2,LED_0805_2012Metric,1,LED_POW,
D3,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,1,IRL81A,
D4,LED_0805_2012Metric,1,LED_YELLOW,
D5,LED_0805_2012Metric,1,LED_ERR,
"K1, K2",RELAY_HE721C0510,2,HE721C0510,
"Q1, Q2",TO-18-3,2,2N2907A,
"R1, R7",R_0603_1608Metric,2,R39,
"R2, R3, R4, R6, R8",R_0603_1608Metric,5,R1K,
R5,R_0201_0603Metric,1,R0,
U1,IRM-H638T&slash_TR2_EVE,1,IRM-H638T/TR2,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,ATtiny85-20M,
