Designator,Mid X,Mid Y,Rotation,Layer
D1,111.945,-108.175,90.0,top
D2,111.995,-104.225,90.0,top
D3,105.42,-101.725,0.0,top
D4,87.87,-108.175,90.0,top
D5,87.845,-104.25,90.0,top
K1,99.845,-110.4375,90.0,top
K2,99.82,-88.1125,90.0,top
Q1,83.759724,-99.134724,0.0,top
Q2,114.484724,-99.134724,0.0,top
R1,95.745,-98.125,180.0,bottom
R2,115.17,-108.175,90.0,top
R3,115.22,-104.225,90.0,top
R4,104.22,-96.275,0.0,bottom
R5,95.745,-96.5,0.0,bottom
R6,84.695,-108.175,90.0,top
R7,104.245,-98.125,0.0,bottom
R8,84.695,-104.325,90.0,top
U1,94.395,-100.1,0.0,top
U2,100.0,-100.0,180.0,bottom
