pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
111.3,-98.06495,0.0,top,,,,,,tht
111.3,-101.85495,0.0,top,,,,,,tht
92.674198,-91.181438,0.0,top,1,,,,,tht
95.956434,-89.286438,120.0,top,2,,,,,tht
96.025802,-110.753612,0.0,top,3,,,,,tht
92.743566,-108.858612,-120.0,top,4,,,,,tht
100.05,-93.15,90.0,top,D4,,,R_0805_2012Metric,LED,smt
99.88,-106.87,-90.0,top,D5,,,R_0805_2012Metric,LED,smt
103.790001,-93.566744,-30.0,bottom,J2,,,TE_0-1734839-6_1x06-1MP_P0.5mm_Horizontal,Conn_01x06,smt
88.37,-98.03,0.0,top,Q1,,,SOT-23,PMST2222,smt
88.37,-101.51,0.0,top,Q2,,,SOT-23,PMST2222,smt
91.08,-98.03,90.0,top,R1,,,R_0603_1608Metric,R39,smt
91.09,-101.5,90.0,top,R2,,,R_0603_1608Metric,R39,smt
92.74,-98.02,-90.0,top,R5,,,R_0603_1608Metric,R39,smt
92.73,-101.505,90.0,top,R6,,,R_0603_1608Metric,R39,smt
93.34,-104.8,0.0,top,R7,,,R_0603_1608Metric,R10M,smt
104.794074,-106.651713,-135.0,top,U2,,,QFN-20-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,ATtiny84-20M,smt
