Designator,Mid X,Mid Y,Rotation,Layer
_2,111.3,-98.06495,0.0,top
,111.3,-101.85495,0.0,top
1,92.674198,-91.181438,0.0,top
2,95.956434,-89.286438,0.0,top
3,96.025802,-110.753612,0.0,top
4,92.743566,-108.858612,0.0,top
D1,89.77,-98.665,-90.0,top
D2,104.035818,-109.6275,30.0,top
D3,106.271261,-91.755647,148.0,top
D4,106.02,-96.54,-60.0,top
D5,94.1,-103.52,120.0,top
Q1,94.6,-96.91,-30.0,top
R1,97.675,-104.825,180.0,top
R2,87.75,-99.86,90.0,top
R3,106.24,-110.7,-150.0,top
R4,106.175,-89.425,148.0,top
R5,104.7,-97.32,120.0,top
R6,95.5,-102.7,120.0,top
R7,94.2,-106.725,135.0,top
U1,105.72,-103.91,180.0,top
